Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
NYSEG,,28,Auburn,Auburn,13021,4400603,NYS-SWIFT AVE 316,N,,0,0,0,0,0,0,0,0,0,0,410,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,24/10/2014,Y,N
NYSEG,,107,Ithaca,Moravia,13118,4300603,NYS-MORAVIA 606,N,,0,0,0,0,0,0,0,0,0,0,210,0,0,0,RNM,,,,,,,,,,,,,,,,,,,,,,,,Y,N
NYSEG,,127,Elmira,Corning,14830,5203721,NYS-FULTON ST 221,N,,0,0,0,0,0,0,0,0,60,0,0,0,0,0,NA,,,,,,,,,,,,,,,,,,,,,,,,Y,N
NYSEG,,186,Ithaca,Ithaca,14850,4301501,NYS-WEST HILL 609,N,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,28/02/2012,Y,N
NYSEG,,188,Binghamton,Candor,13743,4301201,NYS-CANDOR 529,N,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,01/06/1998,Y,N
NYSEG,,198,Mechanicville ,Petersburgh,12138,1203207,NYS-STEPHENTOWN 622,N,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,11/09/2006,Y,N
NYSEG,,249,Binghamton,Whitney Point,13862,8101705,NYS-CHENANGO BRIDGE 428,N,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,06/01/2005,Y,N
NYSEG,,275,Binghamton,Candor,13743,4301202,NYS-CANDOR 722,N,,0,0,0,0,0,0,130,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,,Y,N
NYSEG,,287,Elmira,Van etten,14889,4302701,NYS-VAN ETTEN 570,N,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,11/03/2003,26921,,,,,,,,,,,,,,,16/04/2003,Y,N
NYSEG,,290,Plattsburgh,Morrisonville,12962,1501137,NYS-BANKER RD 437,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,13/05/2005,Y,N
NYSEG,,292,Liberty,Pine bush,12566,2403658,NYS-WALDEN 358,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,10/11/2005,Y,N
NYSEG,,297,Ithaca,Trumansburg,14886,4303401,NYS-BURDETT MECK 508,N,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,06/07/2005,Y,N
NYSEG,,298,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,31/05/2005,Y,N
NYSEG,ETM Solar Works,301,Ithaca,Ithaca,14850,4303601,NYS-SOUTH LANSING TAP 522,N,,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,04/04/2003,Y,N
NYSEG,,308,Ithaca,Groton,13073,4300701,NYS-LOCKE 718,N,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,07/05/2003,Y,N
NYSEG,,312,Ithaca,Ithaca,14850,4301501,NYS-WEST HILL 609,N,,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,28/03/2001,Y,N
NYSEG,,314,Lancaster,Springville,14141,3105302,NYS-COBBLEHILL 548,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,22/08/2005,Y,N
NYSEG,,315,Elmira,Van Etten,14889,4302701,NYS-VAN ETTEN 570,N,,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,22/09/2000,,,,,17/10/2000,26296,,,,,,,,,,,,,,26/02/2001,16/05/2001,Y,N
NYSEG,,317,Plattsburgh,Willsboro,12996,1501801,NYS-CABOT MINE 413,N,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,14/10/2002,Y,N
NYSEG,,318,Mechanicville ,Chatham,12037,1205402,NYS-KLINE KILL 630,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/02/2004,Y,N
NYSEG,,319,Plattsburgh,Jay,12941,1502602,NYS-JAY 411,N,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,23/06/2005,Y,N
NYSEG,,320,Liberty,Liberty,12754,2401310,NYS-GROSSINGER 210,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,06/03/2003,Y,N
NYSEG,,323,Plattsburgh,Ausable Forks,12912,1502701,NYS-STICKNEY BRIDGE 210,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,29/07/2005,Y,N
NYSEG,,327,Mechanicville ,Chatham,12037,1205403,NYS-KLINE KILL 631,N,,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,21/12/2001,Y,N
NYSEG,,329,Plattsburgh,Cadyville,12918,1502574,NYS-HIGH FALLS 474,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,12/12/2001,Y,N
NYSEG,,331,Ithaca,Spencer,14883,4301301,NYS-SPENCER 712,N,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,30/05/2003,Y,N
NYSEG,,332,Ithaca,East Freetown,13101,8104402,NYS-WILLET 421,N,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,17/05/2002,Y,N
NYSEG,Solar Liberty Energy Systems,333,Ithaca,Ithaca,14850,4301101,NYS-BROOKTONDALE 531,N,,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,26/08/2013,03/09/2013,6,03/09/2013,03/09/2013,10/09/2013,6,,,,,,,,,,,,,,14/05/2014,15/05/2014,Y,N
NYSEG,,334,Elmira,Lansing,14882,4303101,NYS-NORTH LANSING 522,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,16/01/2002,Y,N
NYSEG,,335,Binghamton,Vestal,13850,8101401,NYS-VESTAL 623,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,16/11/2001,Y,N
