Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
O&R,Sungevity,DGINT-00001,CENTRAL,Warwick,10990,63-2-13,Chester,NO,0,3,,,,,,,,,,,,,,NM,NO,19/04/2016,03/05/2016,10,03/05/2016,,,,,,,,,,,,,,,,,24/05/2016,24/05/2016,Yes,NO
O&R,NovelApproaches Solar,DGINT-00002,WEST,Huguenot,12746, 5-10-34,Cuddebackville,NO,0,4,,,,,,,,,,,,,,NM,NO,19/04/2016,03/05/2016,10,03/05/2016,,,,,,,,,,,,,,,,,05/07/2016,05/07/2016,Yes,NO
O&R,Sunrun Inc,DGINT-00003,EAST,Stony Point,10980,23-4-13,Stony Point,NO,0,9.25,,,,,,,,,,,,,,NM,NO,22/04/2016,05/05/2016,9,05/05/2016,,,,,,,,,,,,,,,,,20/06/2016,20/06/2016,Yes,NO
O&R,Trinity Solar,DGINT-00004,WEST,Middletown,10940, 7-1-13,Otisville,NO,0,13,,,,,,,,,,,,,,NM,NO,25/04/2016,09/05/2016,10,09/05/2016,,,,,,,,,,,,,,,,,29/08/2016,29/08/2016,Yes,NO
O&R,Trinity Solar,DGINT-00005,EAST,Haverstraw,10927,27-3-13,West Haverstraw,NO,0,3,,,,,,,,,,,,,,NM,NO,27/04/2016,11/05/2016,10,11/05/2016,,,,,,,,,,,,,,,,,25/05/2016,25/05/2016,Yes,NO
O&R,Sungevity,DGINT-00006,WEST,Huguenot,12746, 5-10-34,Cuddebackville,NO,0,3.8,,,,,,,,,,,,,,NM,NO,29/04/2016,12/05/2016,9,02/06/2016,,,,,,,,,,,,,,,,,16/06/2016,16/06/2016,Yes,NO
O&R,Solar Home NJ LLC,DGINT-00007,CENTRAL,Warwick,10990,80-5-13,Wisner,NO,0,24.73,,,,,,,,,,,,,,NM,NO,30/04/2016,13/05/2016,9,17/06/2016,,,,,,,,,,,,,,,,,09/01/2017,09/01/2017,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00008,EAST,Suffern,10901,51-2-13,Tallman,NO,0,14.4,,,,,,,,,,,,,,NM,NO,04/05/2016,17/05/2016,9,22/06/2016,,,,,,,,,,,,,,,,,06/07/2016,06/07/2016,Yes,NO
O&R,Apex Solar Power,DGINT-00009,CENTRAL,Chester,10918,61-1-13,Monroe,NO,0,25,,,,,,,,,,,,,,NM,NO,04/05/2016,17/05/2016,9,06/06/2016,,,,,,,,,,,,,,,,,18/08/2016,18/08/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00010,EAST,Upper Nyack,10960,24-11-13,Snake Hill Road,NO,0,5.89,,,,,,,,,,,,,,NM,NO,04/05/2016,17/05/2016,9,17/05/2016,,,,,,,,,,,,,,,,,09/08/2016,09/08/2016,Yes,NO
