Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
Central Hudson,Solar Works,CH-09052,Kingston,Napanoch,12458,3091,Neversink,No,,4,,,,,,,,,,,,,,NM,No,31/01/2001,31/01/2001,0,31/01/2001,,, ,,,, ,,,,,,,,,,20/08/2002,20/08/2002,Yes,
Central Hudson,Solar Works,CH-09054,Fishkill,Beacon,12508,8087,Tioronda,No,,4,,,,,,,,,,,,,,NM,No,02/03/2001,02/03/2001,0,02/03/2001,,, ,,,, ,,,,,,,,,,04/09/2002,04/09/2002,Yes,
Central Hudson,Self,CH-08877,Poughkeepsie,Poughkeepsie,12603,6042,Spackenkill,No,,2,,,,,,,,,,,,,,NM,No,23/07/2001,23/07/2001,0,23/07/2001,,, ,,,, ,,,,,,,,,,06/12/2001,06/12/2001,Yes,
Central Hudson,Sunstruck Design,CH-09690,Newburgh,Highland,12528,5084,Highland,No,CH-09690,4,,,,,,,,,,,,,,NM,No,25/07/2001,29/07/2001,2,29/07/2001,,, ,,,, ,,,,,,,,,,17/03/2003,28/03/2003,Yes,
Central Hudson,SunWize Technologies Inc,CH-09697,Kingston,Marbletown,10401,2094,Hurley Ave,No,,2.5,,,,,,,,,,,,,,NM,No,11/03/2002,14/03/2002,3,14/03/2002,,, ,,,, ,,,,,,,,,,03/07/2002,03/07/2002,Yes,
Central Hudson,Sunnyside Solar,CH-09638,Kingston,Saugerties,12477,3003,Saugerties,No,,1.8,,,,,,,,,,,,,,NM,No,14/05/2002,17/05/2002,3,17/05/2002,,, ,,,, ,,,,,,,,,,15/07/2003,23/07/2003,Yes,
Central Hudson,Sunnyside Solar,CH-09637,Fishkill,Garrison,10524,8066,Merritt Park,No,,1,,,,,,,,,,,,,,NM,No,05/06/2002,10/06/2002,3,10/06/2002,,, ,,,, ,,,,,,,,,,05/06/2002,10/06/2002,Yes,
Central Hudson,Hudson Solar,CH-02134,Poughkeepsie,Rhinebeck,12572,7053,Rhinebeck,No,CH-02134,2.5,,,,,,,,,,,,,,NM,No,16/07/2002,18/07/2002,2,18/07/2002,,, ,,,, ,,,,,,,,,,20/12/2002,26/12/2002,Yes,
Central Hudson,Solar Works,CH-09050,Catskill,Westerlo,12193,2061,Freehold,No,,2.5,,,,,,,,,,,,,,NM,No,11/09/2002,17/09/2002,4,17/09/2002,,, ,,,, ,,,,,,,,,,11/10/2002,15/10/2002,Yes,
Central Hudson,Solar Works,CH-09051,Catskill,Athens,12015,2002,North Catskill,No,,2.5,,,,,,,,,,,,,,NM,No,12/09/2002,17/09/2002,3,17/09/2002,,, ,,,, ,,,,,,,,,,10/07/2006,10/07/2006,Yes,
